Sample;Cross;Family;Batch;Individual;Timepoint;CrossTimepoint
H1502_147_150A;SBxSB;H1502;1;A;150;SBxSB150
H1503_148_150A;SBxSB;H1503;1;A;150;SBxSB150
H1504_149_150A;SBxSB;H1504;1;A;150;SBxSB150
H1505_150_150A;SBxPL;H1505;1;A;150;SBxPL150
H1506_151_150A;SBxPL;H1506;1;A;150;SBxPL150
H1507_152_150A;SBxPL;H1507;1;A;150;SBxPL150
H1512_157_150A;PLxSB;H1512;1;A;150;PLxSB150
H1514_159_150A;PLxSB;H1514;1;A;150;PLxSB150
H1520_165_150A;PLxSB;H1520;1;A;150;PLxSB150
H1509_154_150A;PLxPL;H1509;1;A;150;PLxPL150
H1513_158_150A;PLxPL;H1513;1;A;150;PLxPL150
H1516_161_150A;PLxPL;H1516;1;A;150;PLxPL150
H1502_147_200A;SBxSB;H1502;1;A;200;SBxSB200
H1503_148_200A;SBxSB;H1503;1;A;200;SBxSB200
H1504_149_200A;SBxSB;H1504;1;A;200;SBxSB200
H1505_150_200A;SBxPL;H1505;1;A;200;SBxPL200
H1506_151_200A;SBxPL;H1506;1;A;200;SBxPL200
H1507_152_200A;SBxPL;H1507;1;A;200;SBxPL200
H1512_157_200A;PLxSB;H1512;1;A;200;PLxSB200
H1514_159_200A;PLxSB;H1514;1;A;200;PLxSB200
H1520_165_200A;PLxSB;H1520;1;A;200;PLxSB200
H1509_154_200A;PLxPL;H1509;1;A;200;PLxPL200
H1513_158_200A;PLxPL;H1513;1;A;200;PLxPL200
H1516_161_200A;PLxPL;H1516;1;A;200;PLxPL200
H1502_147_150B;SBxSB;H1502;2;B;150;SBxSB150
H1503_148_150B;SBxSB;H1503;2;B;150;SBxSB150
H1504_149_150B;SBxSB;H1504;2;B;150;SBxSB150
H1505_150_150B;SBxPL;H1505;2;B;150;SBxPL150
H1506_151_150B;SBxPL;H1506;2;B;150;SBxPL150
H1507_152_150B;SBxPL;H1507;2;B;150;SBxPL150
H1512_157_150B;PLxSB;H1512;2;B;150;PLxSB150
H1514_159_150B;PLxSB;H1514;2;B;150;PLxSB150
H1520_165_150B;PLxSB;H1520;2;B;150;PLxSB150
H1509_154_150B;PLxPL;H1509;2;B;150;PLxPL150
H1513_158_150B;PLxPL;H1513;2;B;150;PLxPL150
H1516_161_150B;PLxPL;H1516;2;B;150;PLxPL150
H1502_147_200B;SBxSB;H1502;2;B;200;SBxSB200
H1503_148_200B;SBxSB;H1503;2;B;200;SBxSB200
H1504_149_200B;SBxSB;H1504;2;B;200;SBxSB200
H1505_150_200B;SBxPL;H1505;2;B;200;SBxPL200
H1506_151_200B;SBxPL;H1506;2;B;200;SBxPL200
H1507_152_200B;SBxPL;H1507;2;B;200;SBxPL200
H1512_157_200B;PLxSB;H1512;2;B;200;PLxSB200
H1514_159_200B;PLxSB;H1514;2;B;200;PLxSB200
H1520_165_200B;PLxSB;H1520;2;B;200;PLxSB200
H1509_154_200B;PLxPL;H1509;2;B;200;PLxPL200
H1513_158_200B;PLxPL;H1513;2;B;200;PLxPL200
H1516_161_200B;PLxPL;H1516;2;B;200;PLxPL200
H1502_147_150C;SBxSB;H1502;3;C;150;SBxSB150
H1503_148_150C;SBxSB;H1503;3;C;150;SBxSB150
H1504_149_150C;SBxSB;H1504;3;C;150;SBxSB150
H1505_150_150C;SBxPL;H1505;3;C;150;SBxPL150
H1506_151_150C;SBxPL;H1506;3;C;150;SBxPL150
H1507_152_150C;SBxPL;H1507;3;C;150;SBxPL150
H1512_157_150C;PLxSB;H1512;3;C;150;PLxSB150
H1514_159_150C;PLxSB;H1514;3;C;150;PLxSB150
H1520_165_150C;PLxSB;H1520;3;C;150;PLxSB150
H1509_154_150C;PLxPL;H1509;3;C;150;PLxPL150
H1513_158_150C;PLxPL;H1513;3;C;150;PLxPL150
H1516_161_150C;PLxPL;H1516;3;C;150;PLxPL150
H1502_147_200C;SBxSB;H1502;3;C;200;SBxSB200
H1503_148_200C;SBxSB;H1503;3;C;200;SBxSB200
H1504_149_200C;SBxSB;H1504;3;C;200;SBxSB200
H1505_150_200C;SBxPL;H1505;3;C;200;SBxPL200
H1506_151_200C;SBxPL;H1506;3;C;200;SBxPL200
H1507_152_200C;SBxPL;H1507;3;C;200;SBxPL200
H1512_157_200C;PLxSB;H1512;3;C;200;PLxSB200
H1514_159_200C;PLxSB;H1514;3;C;200;PLxSB200
H1520_165_200C;PLxSB;H1520;3;C;200;PLxSB200
H1509_154_200C;PLxPL;H1509;3;C;200;PLxPL200
H1513_158_200C;PLxPL;H1513;3;C;200;PLxPL200
H1516_161_200C;PLxPL;H1516;3;C;200;PLxPL200
